C139E;60005;LA PALMA AEROPUERTO;STA. CRUZ DE TENERIFE;283759N;174518W;33;1970-04-01;2021-09-03
C459Z;60012;PUERTO DE LA CRUZ;STA. CRUZ DE TENERIFE;282505N;163253W;25;1996-06-12;2021-09-03
C329Z;60008;SAN SEBASTIÁN DE LA GOMERA;STA. CRUZ DE TENERIFE;280523N;170641W;15;1995-01-01;2021-09-03
C449C;60020;STA.CRUZ DE TENERIFE;STA. CRUZ DE TENERIFE;282748N;161519W;35;1931-01-01;2021-09-03
C129Z;60004;TAZACORTE;STA. CRUZ DE TENERIFE;283545N;175455W;62;2000-01-22;2021-09-03
C447A;60015;TENERIFE NORTE AEROPUERTO;STA. CRUZ DE TENERIFE;282839N;161946W;632;1941-08-01;2021-09-03
C429I;60025;TENERIFE SUR AEROPUERTO;STA. CRUZ DE TENERIFE;280249N;163340W;64;1980-07-01;2021-09-03
0016A;08175;REUS AEROPUERTO;TARRAGONA;410842N;010949E;71;1945-02-01;2021-09-02
9987P;08240;SANT JAUME D'ENVEJA;TARRAGONA;404157N;004836E;1;1997-01-01;2019-12-03
9981A;08238;ESTACIÓN DE TORTOSA (ROQUETES);TARRAGONA;404913N;002936E;50;1920-01-01;2021-09-03
0002I;08169;VANDELLÒS  ;TARRAGONA;405729N;005217E;32;1968-03-01;2021-07-06
9573X;08164;ALCAÑIZ;TERUEL;410329N;000830W;334;1990-01-01;2021-09-03
9381;;CALAMOCHA, AERÓDROMO;TERUEL;405154N;011818W;932;1942-01-01;1985-06-30
9381I;08233;CALAMOCHA;TERUEL;405534N;011736W;890;1992-08-01;2021-09-03
9569A;08166;CALANDA;TERUEL;405648N;001416W;466;1990-04-01;2021-09-03
8368U;08235;TERUEL;TERUEL;402102N;010727W;900;1986-04-01;2021-09-03
4067;08273;MADRIDEJOS;TOLEDO;392931N;033142W;690;1945-06-01;2021-09-03
4061X;08275;QUINTANAR DE LA ORDEN;TOLEDO;393551N;030249W;691;2006-10-31;2021-09-03
3298X;08270;SAN PABLO DE LOS MONTES;TOLEDO;393249N;042102W;917;2006-11-03;2021-09-03
3365A;08274;TALAVERA DE LA REINA;TOLEDO;395731N;045149W;372;1920-01-01;2021-09-03
3259;;TOLEDO, LORENZANA;TOLEDO;395134N;040132W;540;1920-01-01;1982-04-30
3260B;08272;TOLEDO;TOLEDO;395305N;040243W;515;1982-02-01;2021-09-03
8058X;08282;OLIVA;VALENCIA;385544N;000545W;5;1992-06-06;2021-08-31
8325X;08287;POLINYÀ DE XÚQUER;VALENCIA;391105N;002219W;12;1991-02-01;2021-09-03
8309X;08281;UTIEL;VALENCIA;393432N;011441W;758;1991-01-10;2021-09-03
8414A;08284;VALENCIA AEROPUERTO;VALENCIA;392906N;002829W;56;1965-01-01;2021-09-03
